municipio_nombre;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Acebeda (La);84;78;71;63;57;52;41;38;35;33;30
Ajalvir;1483;1524;1583;1599;1683;1771;1818;1772;1874;1974;2064
Alameda del Valle;73;72;76;75;69;75;78;77;82;79;87
Alamo (El);2510;2692;2737;2845;3009;3165;3305;3242;3436;3593;3671
Alcalá de Henares;68767;70580;72430;74460;76699;78852;79950;78031;80228;81965;84527
Alcobendas;45360;46261;47802;48978;50518;52431;53468;51948;53779;55382;57192
Alcorcón;64297;65299;67145;68563;70309;72140;73359;71523;73991;75818;77896
Aldea del Fresno;634;644;671;719;740;812;849;858;911;938;1014
Algete;7767;8067;8286;8457;8760;9040;9238;8967;9416;9592;9764
Alpedrete;4802;4984;5191;5397;5614;5812;5966;5885;6158;6282;6502
Ambite;201;202;195;197;212;216;203;196;209;208;235
Anchuelo;364;385;411;434;440;446;457;433;457;485;504
Aranjuez;16579;17012;17423;17943;18800;19782;19991;19840;20724;21311;22225
Arganda del Rey;18967;19538;20586;21497;22292;23234;23781;23258;24433;24982;25881
Arroyomolinos;7473;8224;8830;9476;10180;10891;11521;11591;12431;13202;13930
Atazar (El);46;46;45;43;44;48;45;44;42;34;41
Batres;509;501;504;530;546;549;550;583;618;635;657
Becerril de la Sierra;1720;1794;1860;1903;2020;2105;2196;2183;2336;2435;2545
Belmonte de Tajo;535;559;577;630;642;647;649;670;672;682;682
Berrueco (El);161;163;163;200;192;199;219;217;233;234;250
Berzosa del Lozoya;86;75;74;73;64;62;58;59;57;59;59
Boadilla del Monte;16573;17251;17966;18581;19413;20407;21337;21560;23296;24578;25991
Boalo (El);2341;2438;2515;2587;2725;2870;3033;3018;3177;3237;3363
Braojos;109;109;112;108;103;105;103;102;109;105;101
Brea de Tajo;197;189;199;186;190;187;192;180;177;175;180
Brunete;3482;3668;3904;4022;4177;4335;4409;4350;4572;4689;4821
Buitrago del Lozoya;744;757;763;773;800;811;832;811;838;828;843
Bustarviejo;746;743;768;806;847;884;921;931;966;992;1045
Cabanillas de la Sierra;276;269;280;284;269;296;309;299;320;337;359
Cabrera (La);846;861;918;964;1022;1061;1072;1034;1088;1111;1170
Cadalso de los Vidrios;725;766;763;825;861;920;977;983;1030;1038;1035
Camarma de Esteruelas;2121;2198;2289;2448;2555;2661;2689;2675;2830;2900;3070
Campo Real;1780;1945;2122;2255;2382;2452;2553;2557;2620;2700;2776
Canencia;167;163;159;155;147;133;137;134;142;133;144
Carabaña;568;599;604;651;676;693;692;715;771;799;859
Casarrubuelos;1030;1088;1179;1251;1286;1307;1351;1369;1422;1498;1532
Cenicientos;471;489;525;535;580;622;644;639;644;655;627
Cercedilla;2451;2520;2589;2631;2682;2794;2835;2851;2930;3077;3161
Cervera de Buitrago;61;57;52;55;54;52;51;46;44;33;35
Chapinería;551;600;616;680;691;740;766;785;855;861;876
Chinchón;1703;1715;1762;1865;1938;2004;2034;1961;2053;2108;2171
Ciempozuelos;7115;7335;7829;8197;8599;8977;9220;9134;9428;9727;10158
Cobeña;2298;2469;2552;2700;2775;2869;2929;2898;3020;3131;3214
Collado Mediano;2271;2325;2393;2517;2657;2743;2790;2716;2892;2994;3083
Collado Villalba;22905;23573;24442;25343;26207;27302;27962;27502;28734;29611;30482
Colmenar Viejo;17988;18548;19215;19765;20710;21567;22155;21879;22831;23803;24699
Colmenar de Oreja;2377;2396;2577;2706;2840;2957;2992;2979;3149;3207;3341
Colmenar del Arroyo;401;437;459;492;516;519;536;556;580;612;615
Colmenarejo;3039;3138;3230;3360;3500;3626;3741;3675;3826;4018;4118
Corpa;200;213;215;224;218;239;252;249;249;271;277
Coslada;37370;37905;38793;39068;39642;40093;39926;38338;38865;38993;39069
Cubas de la Sagra;1569;1655;1789;1926;2026;2123;2218;2232;2345;2479;2613
Daganzo de Arriba;3309;3475;3634;3763;3892;4118;4252;4246;4477;4614;4850
Escorial (El);5186;5342;5624;5781;5953;6240;6318;6219;6418;6636;6916
Estremera;405;414;416;415;420;417;442;433;456;465;489
Fresnedillas de la Oliva;409;444;462;483;514;571;581;570;604;636;647
Fresno de Torote;560;580;634;676;704;724;730;716;753;804;859
Fuenlabrada;78516;80397;83152;85196;87506;89359;89774;86755;89447;90115;90925
Fuente el Saz de Jarama;2251;2324;2430;2494;2576;2685;2723;2687;2881;2984;3109
Fuentidueña de Tajo;517;541;586;576;610;644;675;672;686;695;702
Galapagar;11884;12329;12807;13276;13900;14545;14933;14637;15426;15940;16464
Garganta de los Montes;108;113;121;121;130;122;120;126;144;140;147
Gargantilla del Lozoya y Pinilla de Buitrago;79;75;84;90;100;93;97;93;98;110;107
Gascones;64;66;65;70;75;73;84;87;95;101;108
Getafe;63140;65037;67436;69282;71955;74417;76549;75114;78648;80998;83682
Griñón;3217;3350;3538;3648;3836;3879;4039;4000;4101;4205;4394
Guadalix de la Sierra;1893;1958;2027;2163;2233;2346;2451;2428;2581;2666;2757
Guadarrama;5441;5605;5764;5991;6263;6542;6636;6485;6681;6910;7055
Hiruela (La);6;5;7;8;4;4;6;5;6;7;6
Horcajo de la Sierra-Aoslos;49;52;49;52;50;55;56;50;52;60;60
Horcajuelo de la Sierra;30;25;27;24;29;27;25;35;38;35;41
Hoyo de Manzanares;2737;2792;2862;2952;3083;3228;3271;3271;3409;3514;3576
Humanes de Madrid;6524;6889;7144;7472;7735;8085;8209;8016;8282;8627;8794
Leganés;69883;71063;72824;74162;76268;78192;79360;77481;79952;81898;84103
Loeches;2598;2802;3007;3157;3366;3550;3655;3578;3793;3878;4001
Lozoya;191;190;193;189;196;206;203;192;213;201;197
Lozoyuela-Navas-Sieteiglesias;316;329;346;364;400;401;405;396;446;449;459
Madarcos;47;46;39;40;34;29;28;27;27;29;31
Madrid;1251319;1265502;1295730;1322543;1363946;1408793;1436912;1393758;1451234;1494001;1544690
Majadahonda;26278;27008;27649;28384;29094;30047;30710;30043;31185;31900;32626
Manzanares el Real;2587;2743;2813;2963;3110;3248;3341;3361;3485;3582;3739
Meco;4021;4216;4385;4585;4790;5067;5321;5339;5651;5773;6003
Mejorada del Campo;8688;9104;9468;9811;10194;10438;10613;10244;10656;10744;10887
Miraflores de la Sierra;1783;1897;1929;2026;2156;2292;2377;2395;2503;2588;2755
Molar (El);2575;2628;2821;2951;3127;3264;3386;3308;3510;3643;3909
Molinos (Los);1402;1447;1518;1632;1686;1759;1780;1745;1836;1893;1929
Montejo de la Sierra;103;92;87;80;91;94;92;101;106;110;101
Moraleja de Enmedio;1767;1845;1922;1991;2068;2140;2214;2167;2269;2334;2418
Moralzarzal;3869;3984;4252;4398;4576;4803;4959;4979;5200;5420;5672
Morata de Tajuña;2291;2393;2535;2654;2771;2873;2951;2888;3055;3143;3289
Móstoles;81082;82076;84098;85573;87487;89597;90340;87295;89947;91515;92918
Navacerrada;915;908;1009;1023;1061;1063;1089;1094;1143;1195;1238
Navalafuente;365;390;403;434;479;525;534;507;570;606;634
Navalagamella;672;715;759;795;815;877;922;916;964;1013;1099
Navalcarnero;7852;8277;8779;9358;9831;10422;10848;10830;11561;12147;12603
Navarredonda y San Mamés;28;32;33;33;33;29;30;37;41;38;45
Navas del Rey;689;717;757;822;863;901;947;946;1003;1042;1070
Nuevo Baztán;1854;1938;2023;2087;2194;2277;2275;2240;2366;2472;2561
Olmeda de las Fuentes;105;108;107;117;121;131;140;138;141;134;146
Orusco de Tajuña;287;312;326;359;365;391;393;382;433;453;484
Paracuellos de Jarama;6624;7126;7569;8019;8471;8982;9393;9466;10084;10492;10941
Parla;40536;41973;43839;45972;48312;50404;51493;50124;52816;54613;55880
Patones;164;153;146;144;148;143;151;147;155;157;163
Pedrezuela;1590;1693;1758;1838;1967;2086;2194;2194;2292;2430;2480
Pelayos de la Presa;559;582;642;646;671;752;793;771;846;893;975
Perales de Tajuña;875;889;896;972;995;1056;1057;1060;1132;1143;1165
Pezuela de las Torres;225;239;245;249;243;256;270;259;272;274;289
Pinilla del Valle;45;44;40;45;45;49;51;52;54;60;57
Pinto;16470;17106;17959;18674;19512;20385;21036;20591;21659;22480;23259
Piñuécar-Gandullas;50;49;53;58;63;66;74;73;75;79;74
Pozuelo de Alarcón;31774;32520;33256;33916;34796;35758;36388;36054;37304;38276;39177
Pozuelo del Rey;313;324;358;386;403;430;446;433;464;485;486
Prádena del Rincón;39;42;44;45;41;39;42;44;43;50;55
Puebla de la Sierra;19;20;22;21;18;16;22;19;19;19;15
Puentes Viejas;139;147;165;169;183;203;233;227;242;237;248
Quijorna;946;1009;1086;1149;1213;1279;1322;1340;1402;1491;1606
Rascafría;544;513;525;599;604;642;653;645;666;670;659
Redueña;84;82;90;86;96;97;99;103;107;112;126
Ribatejada;163;158;166;183;195;218;240;243;256;282;289
Rivas-Vaciamadrid;28005;29700;31461;33009;34740;36283;37552;37317;39469;41087;42854
Robledillo de la Jara;21;17;16;15;16;19;25;22;25;31;32
Robledo de Chavela;1092;1119;1121;1176;1219;1322;1320;1320;1432;1503;1534
Robregordo;15;18;18;12;12;10;13;13;14;16;20
Rozas de Madrid (Las);33862;34843;36024;36726;37788;38874;39837;39084;40763;42167;43563
Rozas de Puerto Real;97;88;92;99;104;110;111;105;134;137;129
San Agustín del Guadalix;4318;4516;4743;4880;5109;5382;5534;5482;5697;5831;6111
San Fernando de Henares;17308;17858;18231;18801;19213;19621;19621;18869;19249;19488;19707
San Lorenzo de El Escorial;6140;6325;6488;6721;6888;7164;7264;7095;7407;7612;7667
San Martín de Valdeiglesias;2246;2250;2359;2437;2602;2743;2804;2720;2900;2977;3108
San Martín de la Vega;5819;6166;6514;6781;7212;7614;7649;7495;7888;8157;8435
San Sebastián de los Reyes;33635;34552;35862;36726;37935;39211;40239;39272;40905;42395;43459
Santa María de la Alameda;347;354;353;374;383;426;454;442;464;486;484
Santorcaz;190;206;224;232;238;254;254;275;301;304;314
Santos de la Humosa (Los);633;637;667;710;731;800;827;846;870;875;932
Serna del Monte (La);47;43;46;40;37;37;34;39;41;37;41
Serranillos del Valle;1245;1253;1347;1411;1501;1587;1624;1627;1678;1790;1877
Sevilla la Nueva;2837;2978;3161;3273;3450;3619;3781;3725;3900;4013;4145
Somosierra;24;22;24;28;27;29;28;30;25;31;34
Soto del Real;2884;2967;3059;3170;3337;3496;3603;3480;3621;3749;3834
Talamanca de Jarama;1001;1060;1116;1224;1263;1360;1447;1375;1509;1584;1620
Tielmes;754;841;877;910;927;968;963;986;1014;1035;1116
Titulcia;376;404;420;431;467;494;514;520;528;539;564
Torrejón de Ardoz;47025;48440;50267;51956;53984;55768;57221;55620;58532;60141;62185
Torrejón de Velasco;1286;1339;1396;1489;1517;1596;1656;1633;1770;1856;1926
Torrejón de la Calzada;2578;2673;2807;2889;3070;3247;3376;3371;3551;3675;3883
Torrelaguna;1481;1535;1606;1657;1768;1840;1855;1836;1939;1974;2004
Torrelodones;7410;7722;8001;8195;8473;8955;9239;9263;9682;10038;10509
Torremocha de Jarama;194;222;222;238;246;258;274;269;293;300;318
Torres de la Alameda;2488;2586;2703;2865;2992;3098;3116;3092;3205;3245;3367
Tres Cantos;16456;17095;17675;18259;18892;19579;20098;19775;20729;21444;22251
Valdaracete;176;187;186;217;215;216;213;219;225;234;250
Valdeavero;354;377;415;433;476;509;514;516;529;567;595
Valdelaguna;217;212;212;216;220;222;220;217;240;240;249
Valdemanco;244;256;258;269;274;283;295;301;322;332;356
Valdemaqueda;184;205;210;217;227;253;256;253;281;276;286
Valdemorillo;4073;4210;4375;4599;4694;4972;5073;5087;5440;5595;5795
Valdemoro;21934;23096;24268;25462;26654;27881;28930;28595;30247;31578;33222
Valdeolmos-Alalpardo;1106;1188;1253;1312;1368;1477;1552;1510;1606;1717;1783
Valdepiélagos;147;160;174;199;214;207;211;215;243;256;265
Valdetorres de Jarama;1284;1330;1455;1510;1559;1675;1705;1646;1793;1864;1923
Valdilecha;816;834;911;959;1008;1077;1116;1123;1176;1205;1250
Valverde de Alcalá;113;119;118;122;141;150;167;166;174;176;179
Velilla de San Antonio;4327;4490;4690;4899;5050;5239;5387;5340;5660;5872;6097
Vellón (El);512;530;557;571;612;611;669;672;686;725;764
Venturada;549;600;615;651;690;717;762;749;813;854;928
Villa del Prado;1918;1991;2150;2175;2322;2438;2450;2523;2621;2725;2830
Villaconejos;1057;1066;1125;1156;1233;1262;1272;1289;1357;1334;1387
Villalbilla;3674;3998;4274;4526;4774;5067;5378;5338;5791;6176;6676
Villamanrique de Tajo;177;187;193;207;212;214;215;238;245;243;253
Villamanta;694;742;752;786;814;842;867;854;934;990;990
Villamantilla;331;367;370;411;436;470;498;494;551;578;600
Villanueva de Perales;452;497;525;543;553;582;623;585;621;664;691
Villanueva de la Cañada;6195;6466;6757;7077;7612;8131;8523;8489;8963;9258;9642
Villanueva del Pardillo;5927;6044;6385;6603;6907;7210;7284;7225;7549;7883;8260
Villar del Olmo;719;741;785;831;885;928;992;973;1061;1106;1161
Villarejo de Salvanés;2300;2394;2561;2708;2791;2852;2879;2839;2930;2994;3063
Villaviciosa de Odón;9877;9993;10345;10584;10821;11134;11258;11017;11450;11693;11876
Villavieja del Lozoya;76;73;70;76;76;88;90;90;90;100;110
Zarzalejo;450;460;477;493;534;534;568;567;580;608;632
